category,hwahae_rank,product_name,hwahae_rating,hwahae_review,olive_search_query,olive_found,olive_brand,olive_product_name,olive_full_name,original_price,sale_price,discount_rate
skin_toner,24,아비브어성초 카밍 토너 스킨 부스터,4.52,1405,아비브어성초 카밍 토너 스킨 부스터,1,아비브,[수분진정] 아비브 어성초 카밍 토너 스킨부스터 더블 기획 (200ml+200ml),아비브[수분진정] 아비브 어성초 카밍 토너 스킨부스터 더블 기획 (200ml+200ml),39000.0,25940.0,33.5
skin_toner,25,비플레인시카테롤 토너,4.71,2611,비플레인시카테롤 토너,1,비플레인,[흔적진정] 비플레인 시카테롤 블레미쉬 패드 80매,비플레인[흔적진정] 비플레인 시카테롤 블레미쉬 패드 80매,26000.0,19500.0,25.0
skin_toner,26,바이오더마하이드라비오 토너,4.38,2537,바이오더마하이드라비오 토너,1,바이오더마,[6월 올영픽] 바이오더마 하이드라비오 토너 500ml  기획(+250ml 증정),바이오더마[6월 올영픽] 바이오더마 하이드라비오 토너 500ml  기획(+250ml 증정),38000.0,26000.0,31.6
skin_toner,27,아누아피디알엔 100 히알루론산 부스터 토너,4.67,219,아누아피디알엔 100 히알루론산 부스터 토너,1,아누아,[수지 PICK] 아누아 피디알엔 100 히알루론산 부스터 토너 250ml 기획 (+40ml),아누아[수지 PICK] 아누아 피디알엔 100 히알루론산 부스터 토너 250ml 기획 (+40ml),25000.0,16900.0,32.4
skin_toner,28,넘버즈인1번 진정 맑게담은 청초토너,4.56,1717,넘버즈인1번 진정 맑게담은 청초토너,1,넘버즈인,[쿨링진정]넘버즈인 1번 진정 맑게담은 청초토너 300ml 리필기획(+300ml 증정),넘버즈인[쿨링진정]넘버즈인 1번 진정 맑게담은 청초토너 300ml 리필기획(+300ml 증정),40000.0,25500.0,36.2
skin_toner,29,브링그린티트리 시카 수딩 토너,4.4,490,브링그린티트리 시카 수딩 토너,1,브링그린,[수부지토너]브링그린 티트리 시카 수딩 토너 (500ml/250ml),브링그린[수부지토너]브링그린 티트리 시카 수딩 토너 (500ml/250ml),15000.0,13500.0,10.0
skin_toner,30,시드물오리지널 웰빙 녹차스킨,4.28,18636,시드물오리지널 웰빙 녹차스킨,0,,,,,,
skin_toner,31,셀라딕스히알루로닉 인텐스 토너,4.78,201,셀라딕스히알루로닉 인텐스 토너,0,,,,,,
skin_toner,32,싸이닉더 심플 카밍 토너,4.41,15350,싸이닉더 심플 카밍 토너,1,싸이닉,싸이닉 더 심플 카밍 토너 145ml,싸이닉싸이닉 더 심플 카밍 토너 145ml,18000.0,7900.0,56.1
skin_toner,33,에스트라아토베리어365 캡슐 토너,4.72,102,에스트라아토베리어365 캡슐 토너,1,에스트라,[NEW] 에스트라 아토베리어365 캡슐 토너 300ml,에스트라[NEW] 에스트라 아토베리어365 캡슐 토너 300ml,30000.0,30000.0,0.0
skin_toner,34,토리든밸런스풀 시카 각질 토너,4.54,764,토리든밸런스풀 시카 각질 토너,1,토리든,토리든 밸런스풀 시카 각질 토너 250ml,토리든토리든 밸런스풀 시카 각질 토너 250ml,24000.0,18000.0,25.0
skin_toner,35,YBK세라마이드 릴리프 하이드레이션 토너,4.61,109,YBK세라마이드 릴리프 하이드레이션 토너,0,,,,,,
skin_toner,36,마녀공장판테토인 에센스 토너,4.65,959,마녀공장판테토인 에센스 토너,1,마녀공장,[속보습] 마녀공장 판테토인 에센스 토너 200ml,마녀공장[속보습] 마녀공장 판테토인 에센스 토너 200ml,21000.0,14600.0,30.5
skin_toner,37,닥터지레드 블레미쉬 클리어 수딩 토너,4.35,2446,닥터지레드 블레미쉬 클리어 수딩 토너,1,닥터지,[진정/각질제거/대용량] 닥터지 레드 블레미쉬 클리어 수딩 토너 500ml,닥터지[진정/각질제거/대용량] 닥터지 레드 블레미쉬 클리어 수딩 토너 500ml,39000.0,39000.0,0.0
skin_toner,38,프리메이진정한 수분 토너,4.65,194,프리메이진정한 수분 토너,0,,,,,,
skin_toner,39,브이티코스메틱PDRN 광채토너,4.49,132,브이티코스메틱PDRN 광채토너,1,VT,[광채부스팅] VT 피디알엔 토너 250ml,VT[광채부스팅] VT 피디알엔 토너 250ml,25000.0,17500.0,30.0
skin_toner,40,히디프로얄 레이어링 버블토너,4.52,468,히디프로얄 레이어링 버블토너,0,,,,,,
skin_toner,41,에뛰드순정 약산성 5.5 진정 토너,4.3,13440,에뛰드순정 약산성 5.5 진정 토너,0,,,,,,
skin_toner,42,라운드랩소나무 진정 시카 토너,4.58,578,라운드랩소나무 진정 시카 토너,1,라운드랩,[흔적말끔] 라운드랩 소나무 진정 시카 크림 플러스 60ml 기획 (+토너 20ml),라운드랩[흔적말끔] 라운드랩 소나무 진정 시카 크림 플러스 60ml 기획 (+토너 20ml),34000.0,23900.0,29.7
skin_toner,43,파티온포도당 하이드로 에센스토너,4.61,236,파티온포도당 하이드로 에센스토너,1,파티온,[속건조해결] 파티온 포도당 하이드로 에센스토너 300ml 더블 기획(2개입),파티온[속건조해결] 파티온 포도당 하이드로 에센스토너 300ml 더블 기획(2개입),32000.0,32000.0,0.0
skin_toner,44,땡큐파머피토 릴리풀™ 시카 부스팅 토너,4.69,772,땡큐파머피토 릴리풀™ 시카 부스팅 토너,0,,,,,,
skin_toner,45,이즈앤트리체스트넛 바하 0.9% 클리어 토너,4.59,115,이즈앤트리체스트넛 바하 0.9% 클리어 토너,0,,,,,,
skin_toner,46,라운드랩약콩 판테놀 토너,4.71,102,라운드랩약콩 판테놀 토너,0,,,,,,
skin_toner,47,메이크프렘인테카 진정 토너,4.66,680,메이크프렘인테카 진정 토너,1,메이크프렘,메이크프렘 인테카 진정 토너 200ml 기획(+리필 100ml+크림 31ml),메이크프렘메이크프렘 인테카 진정 토너 200ml 기획(+리필 100ml+크림 31ml),26000.0,20800.0,20.0
skin_toner,48,라운드랩자작나무 수분 토너,4.5,2529,라운드랩자작나무 수분 토너,1,라운드랩,[수분생기] 라운드랩 자작나무 수분 토너 1+1 기획 (300ml+300ml),라운드랩[수분생기] 라운드랩 자작나무 수분 토너 1+1 기획 (300ml+300ml),24000.0,23800.0,0.8
skin_toner,49,아브카히알루론산 모공 토너,4.41,172,아브카히알루론산 모공 토너,0,,,,,,
skin_toner,50,마일드랩리얼블루센텔라 아줄렌 에센스 토너,4.61,106,마일드랩리얼블루센텔라 아줄렌 에센스 토너,0,,,,,,
skin_toner,51,에스트라에이시카365 수분토너 pH4.5,4.6,73,에스트라에이시카365 수분토너 pH4.5,0,,,,,,
skin_toner,52,일리윤세라마이드 아토 속보습 스킨,4.6,548,일리윤세라마이드 아토 속보습 스킨,1,일리윤,일리윤 세라마이드 아토 속보습 스킨 250ML,일리윤일리윤 세라마이드 아토 속보습 스킨 250ML,23000.0,23000.0,0.0
skin_toner,53,딕셔니스트아미노산 토너,4.59,2976,딕셔니스트아미노산 토너,1,딕셔니스트,[결청소토너] 딕셔니스트 아미노산 토너 250ml *,딕셔니스트[결청소토너] 딕셔니스트 아미노산 토너 250ml *,30000.0,19500.0,35.0
skin_toner,54,비플레인캐모마일 약산성 토너,4.5,7589,비플레인캐모마일 약산성 토너,0,,,,,,
skin_toner,55,원씽병풀 추출물 토너,4.49,4078,원씽병풀 추출물 토너,1,원씽,[수분진정/붉은기완화] 원씽 병풀 추출물 토너 150ml,원씽[수분진정/붉은기완화] 원씽 병풀 추출물 토너 150ml,11500.0,9900.0,13.9
skin_toner,56,에스트라테라크네365 하이드로 액티브 토너,4.41,182,에스트라테라크네365 하이드로 액티브 토너,1,에스트라,에스트라 테라크네365 하이드로 액티브 토너 200ml,에스트라에스트라 테라크네365 하이드로 액티브 토너 200ml,30000.0,30000.0,0.0
skin_toner,57,코스알엑스풀핏 프로폴리스 시너지 토너,4.47,2585,코스알엑스풀핏 프로폴리스 시너지 토너,1,코스알엑스,코스알엑스 풀핏 프로폴리스 시너지 토너 280ml,코스알엑스코스알엑스 풀핏 프로폴리스 시너지 토너 280ml,22000.0,15800.0,28.2
skin_toner,58,원씽어성초 추출물 토너,4.49,5676,원씽어성초 추출물 토너,1,원씽,[트러블완화/진정] 원씽 어성초 추출물 토너 150ml,원씽[트러블완화/진정] 원씽 어성초 추출물 토너 150ml,11500.0,9900.0,13.9
skin_toner,59,아브카딥 모이스처 세라마이드 크림 토너,4.61,33,아브카딥 모이스처 세라마이드 크림 토너,0,,,,,,
skin_toner,60,잇츠스킨스네일 콜라겐 액티브 토너,4.85,48,잇츠스킨스네일 콜라겐 액티브 토너,0,,,,,,
skin_toner,61,에뛰드순정 약산성 5.5 진정 토너,4.3,13440,에뛰드순정 약산성 5.5 진정 토너,0,,,,,,
skin_toner,62,라운드랩소나무 진정 시카 토너,4.58,578,라운드랩소나무 진정 시카 토너,1,라운드랩,[흔적말끔] 라운드랩 소나무 진정 시카 크림 플러스 60ml 기획 (+토너 20ml),라운드랩[흔적말끔] 라운드랩 소나무 진정 시카 크림 플러스 60ml 기획 (+토너 20ml),34000.0,23900.0,29.7
skin_toner,63,파티온포도당 하이드로 에센스토너,4.61,236,파티온포도당 하이드로 에센스토너,1,파티온,[속건조해결] 파티온 포도당 하이드로 에센스토너 300ml 더블 기획(2개입),파티온[속건조해결] 파티온 포도당 하이드로 에센스토너 300ml 더블 기획(2개입),32000.0,32000.0,0.0
