category,hwahae_rank,product_name,hwahae_rating,hwahae_review
skin_toner,92,메디힐티트리 진정 수분 토너,4.63,260
skin_toner,93,싸이닉히아루론산 앰플 스킨,4.47,2036
skin_toner,94,설화수윤조에센스,4.6,237
skin_toner,95,한율어린쑥 수분진정 토너,4.54,307
skin_toner,96,땡큐파머강화 교동쌀 맑음 에센셜 토너,4.62,545
skin_toner,97,이즈앤트리히아루론산 토너,4.13,14012
skin_toner,98,이니스프리레티놀 PDRN 스킨부스터 토너,4.57,138
skin_toner,99,풀리쌀 세라 에센스 토너,4.44,72
skin_toner,100,달바비타 토닝 세럼 토너,4.55,240
lotion_emulsion,1,일리윤세라마이드 아토 로션,4.79,2207
lotion_emulsion,2,아토팜수딩 젤 로션,4.75,2589
lotion_emulsion,3,에스트라아토베리어365 로션,4.67,2650
lotion_emulsion,4,아토팜MLE 로션,4.74,5115
lotion_emulsion,5,싸이닉더 심플 데일리 로션,4.43,23855
lotion_emulsion,6,라운드랩1025 독도 로션,4.31,26903
lotion_emulsion,7,레스케미갈락토미세스 더마로션,4.7,604
lotion_emulsion,8,코스노리판테놀 베리어 에멀전,4.66,1335
lotion_emulsion,9,라운드랩소나무 진정 시카 로션,4.56,1082
lotion_emulsion,10,온그리디언츠스킨 베리어 카밍 로션,4.39,1184
lotion_emulsion,11,러베5중 세라마이드 로션,4.72,306
lotion_emulsion,12,세타필모이스춰라이징 로션,4.5,1763
lotion_emulsion,13,브링그린블루빈 B5-PDRN 마일드 로션,4.58,463
lotion_emulsion,14,더마비세라엠디 리페어 로션,4.62,1334
lotion_emulsion,15,퓨어솜서양송악 순수 로션,4.69,526
lotion_emulsion,16,피지오겔DMT 페이셜 로션,4.15,13090
lotion_emulsion,17,YBK세라마이드 릴리프 하이드레이션 에멀젼,4.63,109
lotion_emulsion,18,시드물울트라 수분 로션 [무향],4.2,7881
lotion_emulsion,19,제로이드수딩 로션,4.27,2532
lotion_emulsion,20,아토팜판테놀 로션,4.86,21
lotion_emulsion,21,닥터지더모이스처 배리어.D 데일리 로션,4.36,571
lotion_emulsion,22,스킨웨이비탄탄 모공 펩타노산™ 단백질 로션,4.6,429
lotion_emulsion,23,한율어린쑥 수분진정 플루이드,4.56,348
lotion_emulsion,24,아누아어성초 77 히알루론산 수분 진정 로션,4.73,11
lotion_emulsion,25,에스트라아토베리어 로션,4.73,291
lotion_emulsion,26,세라베라아토 판테놀 로션,4.74,458
lotion_emulsion,27,바론시에엑토인 로션,4.63,458
lotion_emulsion,28,제로이드인텐시브 로션,4.34,1146
lotion_emulsion,29,와더스킨브리즈 에센스 플루이드 로션,4.53,62
lotion_emulsion,30,닥터지레드 블레미쉬 밸런싱 에센스 플루이드,4.56,128
lotion_emulsion,31,에스네이처블랑쉬로션,4.33,756
lotion_emulsion,32,에뛰드순정 10무 수분 에멀전,4.41,110
lotion_emulsion,33,잇츠스킨스네일 콜라겐 액티브 에멀전,4.7,43
lotion_emulsion,34,세타필세라마이드 리페어 로션,4.36,11
lotion_emulsion,35,피지오겔레드수딩 AI 로션,4.25,1319
lotion_emulsion,36,아렌시아레드 스무디 로션 5,4.64,76
lotion_emulsion,37,리얼베리어익스트림 로션,4.46,318
lotion_emulsion,38,이니스프리비자 트러블 로션,4.16,426
lotion_emulsion,39,시드물아토로션,4.16,2632
lotion_emulsion,40,뉴트로지나인텐스 리페어 시카 에멀젼 [무향],4.58,301
lotion_emulsion,41,엠디스픽무향 바리스타 리페어 페이스 앤 바디로션,4.63,290
lotion_emulsion,42,마녀공장비피다 바이옴 앰플 로션,4.38,783
lotion_emulsion,43,수이스킨어린 새싹 수분 밸런싱 로션,4.54,147
lotion_emulsion,44,이니스프리블루베리 리밸런싱 로션,4.6,20
lotion_emulsion,45,일소데일리 모이스처 로션,4.59,188
lotion_emulsion,46,닥터지블랙 스네일 에멀전,4.54,39
lotion_emulsion,47,벨프리모아토 로션,4.57,431
lotion_emulsion,48,트리마이제주 말차 로우 피에이치 수딩 에멀전 크림,4.43,516
lotion_emulsion,49,이노앙수딩 젤 로션,4.59,413
lotion_emulsion,50,토니모리원더 세라마이드 모찌 에멀전,4.43,49
lotion_emulsion,51,디오디너리나이아신아마이드 5% 페이스 앤 바디 에멀전,4.42,36
lotion_emulsion,52,제이준오크라 피토 뮤신 에센스 로션,4.77,31
lotion_emulsion,53,더랩바이블랑두올리고 히알루론산 카밍+ 로션,4.26,528
lotion_emulsion,54,달바비타 토닝 세럼 로션,4.55,112
lotion_emulsion,55,코스알엑스오일 프리 울트라 모이스쳐라이징 로션,4.44,45
lotion_emulsion,56,헤라시그니아 에센셜 밸런싱 에멀젼,4.86,21
lotion_emulsion,57,시드물울트라 수분 로션 [주니퍼향],4.64,22
lotion_emulsion,58,온그리디언츠스킨 베리어 카밍 로션 EX,4.26,84
lotion_emulsion,59,디오디너리그랜액티브 레티노이드 2％ 에멀전,4.59,39
lotion_emulsion,60,딕셔니스트아미노산 로션,4.58,223
lotion_emulsion,61,이니스프리그린티 히알루론산 로션,3.99,294
lotion_emulsion,62,닥터자르트세라마이딘™ 스킨 베리어 모이스처라이징 밀키 로션,4.5,16
lotion_emulsion,63,더순수AC 컨트롤 로션,4.61,44
lotion_emulsion,64,오울루버치 아토 모이스처 로션,4.66,874
lotion_emulsion,65,바세린인텐시브 케어 센서티브 릴리프 로션,4.7,10
lotion_emulsion,66,싸이닉히아루론산 로션,4.23,115
